COMMON_NAME,BLD_ADDRESS,PARCEL_ADDRESS,STRUCTURE_TYPE,WARD,COMMUNITY,GLOBALID,MULTIPOLYGON
EAST CALGARY WMF BUILDING U,7019 34 AV SE,6905 34 AV SE,TRANSFER STATION WITH ADMIN SPACES,WARD 9,09Q,{3DBF828F-CFB4-4903-B940-32B52B9EA2D8},"MULTIPOLYGON (((-113.931324 51.0228316, -113.931334 51.0228178, -113.9313579 51.0228161, -113.9313401 51.0228059, -113.931345 51.022791, -113.931324 51.0227985, -113.9313031 51.022791, -113.9313079 51.0228059, -113.9312901 51.0228161, -113.9313141 51.0228178, -113.931324 51.0228316)))"
MANCHESTER SAND BLASTING SHELTER - DEMOLISHED,651 25 AV SE,651 25 AV SE,MISCELLANEOUS,WARD 9,MANCHESTER INDUSTRIAL,{3670A61B-574E-4578-AC60-490EFAC7BC5C},"MULTIPOLYGON (((-114.0485085 51.0244061, -114.0485325 51.0244043, -114.0485147 51.0243941, -114.0485195 51.0243792, -114.0484986 51.0243867, -114.0484776 51.0243792, -114.0484824 51.0243941, -114.0484647 51.0244044, -114.0484886 51.0244061, -114.0484986 51.0244199, -114.0485085 51.0244061)))"
FIRE STATION #45 APPARATUS BAY - REMOVED,5727 23 AV SE,6015 23 AV SE,TENT,WARD 9,FOREST LAWN INDUSTRIAL,{6FF5D07F-926A-4863-B0AE-1A36EE0FDC0E},"MULTIPOLYGON (((-113.9512792 51.0327747, -113.9512891 51.0327609, -113.9513131 51.0327592, -113.9512953 51.0327489, -113.9513002 51.032734, -113.9512792 51.0327415, -113.9512583 51.032734, -113.9512631 51.0327489, -113.9512453 51.0327591, -113.9512692 51.0327609, -113.9512792 51.0327747)))"
EAST CALGARY MSF BLDG 2,1827 68 AV SE,1827 68 ST SE,ADMINISTRATION/HEAVY VEHICLE REPAIR/INVENTORY WAREHOUSE,WARD 9,09Q,{2636005D-A110-4A70-BCED-AE32E317B8D3},"MULTIPOLYGON (((-113.9369515 51.0358931, -113.9369755 51.0358914, -113.9369577 51.0358811, -113.9369625 51.0358663, -113.9369416 51.0358737, -113.9369206 51.0358662, -113.9369254 51.0358811, -113.9369077 51.0358914, -113.9369316 51.0358931, -113.9369415 51.0359069, -113.9369515 51.0358931)))"
MANCHESTER MATERIAL STORAGE - DEMOLISHED,651 25 AV SE,651 25 AV SE,DEMOLISHED/REMOVED/RETIRED,WARD 9,MANCHESTER INDUSTRIAL,{9060F75D-E3E2-476F-8B3E-ADED8DB198E8},"MULTIPOLYGON (((-114.0491781 51.024437, -114.049202 51.0244353, -114.0491842 51.024425, -114.049189 51.0244102, -114.0491681 51.0244177, -114.0491471 51.0244102, -114.049152 51.0244251, -114.0491342 51.0244353, -114.0491581 51.024437, -114.0491681 51.0244508, -114.0491781 51.024437)))"
MANCHESTER ROOFED STRUCTURE - DEMOLISHED,3471 DARTMOUTH RD SE,651 25 AV SE,GENERAL STORAGE,WARD 9,MANCHESTER INDUSTRIAL,{42B5C4AC-0498-4A51-A8EA-AEE14BB607C8},"MULTIPOLYGON (((-114.049925 51.0240765, -114.0499489 51.0240748, -114.0499312 51.0240646, -114.049936 51.0240497, -114.049915 51.0240572, -114.0498941 51.0240497, -114.0498989 51.0240646, -114.0498812 51.0240748, -114.0499051 51.0240765, -114.0499151 51.0240904, -114.049925 51.0240765)))"
EAST CALGARY MSF BLDG 1,1827 68 AV SE,1827 68 ST SE,ADMINISTRATION/HEAVY VEHICLE REPAIR/INVENTORY WAREHOUSE,WARD 9,09Q,{08A1449D-3400-43FA-BCC4-253E435DD887},"MULTIPOLYGON (((-113.9369496 51.0360439, -113.9369735 51.0360423, -113.9369558 51.036032, -113.9369606 51.0360171, -113.9369396 51.0360246, -113.9369187 51.0360171, -113.9369235 51.036032, -113.9369057 51.0360422, -113.9369297 51.0360439, -113.9369396 51.0360578, -113.9369496 51.0360439)))"
ELLISTON LAKE STORM STATION,1827 68 ST SE,1827 68 ST SE,WATER/WASTE WATER TREATMENT PLANT,WARD 9,09Q,{6589E54F-5714-4991-B4C6-8F45DA74B376},"MULTIPOLYGON (((-113.9385038 51.0349931, -113.9384904 51.0350191, -113.9385312 51.0350264, -113.9385444 51.0350017, -113.9385038 51.0349931)))"
FIBER HUB,1300 ZOO RD NE,1300 ZOO RD NE,SPECIALIZED ZOO BUILDINGS,WARD 9,BRIDGELAND/RIVERSIDE,{C8A7585B-1DFA-47C1-AE9F-0545627894B3},"MULTIPOLYGON (((-114.0280471 51.044702, -114.0280375 51.0447026, -114.0280277 51.0447059, -114.0280216 51.0447122, -114.028022 51.0447192, -114.0280257 51.0447249, -114.0280281 51.0447279, -114.0280333 51.0447302, -114.0280407 51.0447314, -114.0280496 51.0447313, -114.0280604 51.0447287, -114.0280675 51.0447246, -114.02807 51.0447182, -114.0280689 51.0447127, -114.0280648 51.0447068, -114.0280573 51.0447029, -114.0280471 51.044702)))"
3466 32A AV SE HOUSING,3466 32A AV SE,3464 32A AV SE,HOUSING - DUPLEX,WARD 9,DOVER,{8CD665C7-949E-4705-A671-9A3BA6B1FE64},"MULTIPOLYGON (((-113.9822676 51.0246547, -113.9822669 51.0245881, -113.9821615 51.0245885, -113.9821615 51.024595, -113.9820924 51.0245953, -113.982093 51.0246561, -113.9822676 51.0246547)))"
3009 30A ST SE HOUSING,3009 30A ST SE,3009 30A ST SE,HOUSING - SINGLE FAMILY,WARD 9,DOVER,{C3FDFA8C-5E2D-425F-B21B-F0434D8CD5C3},"MULTIPOLYGON (((-113.9885476 51.0284982, -113.9884012 51.0284988, -113.988402 51.0285757, -113.9885485 51.028575, -113.9885476 51.0284982)))"
3456 32A AV SE HOUSING,3456 32A AV SE,3456 32A AV SE,HOUSING - DUPLEX,WARD 9,DOVER,{EE360FC5-4921-4173-AA68-4A665740AC7C},"MULTIPOLYGON (((-113.982603 51.0248662, -113.9826058 51.0249756, -113.9827026 51.0249753, -113.9827023 51.0249309, -113.9827107 51.0249309, -113.9827102 51.0248658, -113.982603 51.0248662)))"
